claim_id,paper_location,metric,value,result_file,computation
tab1:naive:LC,Table 1 / Table 10,LC,0.7670,results/extended_replay/audit_aggregates.json,mean of LC over the 8 retained pools of selector naive
tab1:naive:Q,Table 1 / Table 10,Q,0.6623,results/extended_replay/audit_aggregates.json,mean of Q over the 8 retained pools of selector naive
tab1:naive:C,Table 1 / Table 10,C,0.5867,results/extended_replay/audit_aggregates.json,mean of C over the 8 retained pools of selector naive
tab1:naive:D,Table 1 / Table 10,D,0.5992,results/extended_replay/audit_aggregates.json,mean of D over the 8 retained pools of selector naive
tab1:naive:H,Table 1 / Table 10,H,0.0664,results/extended_replay/audit_aggregates.json,mean of H over the 8 retained pools of selector naive
tab1:naive:L,Table 1 / Table 10,L,0.0031,results/extended_replay/audit_aggregates.json,mean of L over the 8 retained pools of selector naive
tab1:naive:HR,Table 1 / Table 10,HR,0.4863,results/extended_replay/audit_aggregates.json,mean of HR over the 8 retained pools of selector naive
tab1:alpagasus_style:LC,Table 1 / Table 10,LC,0.8904,results/extended_replay/audit_aggregates.json,mean of LC over the 8 retained pools of selector alpagasus_style
tab1:alpagasus_style:Q,Table 1 / Table 10,Q,0.7491,results/extended_replay/audit_aggregates.json,mean of Q over the 8 retained pools of selector alpagasus_style
tab1:alpagasus_style:C,Table 1 / Table 10,C,0.6534,results/extended_replay/audit_aggregates.json,mean of C over the 8 retained pools of selector alpagasus_style
tab1:alpagasus_style:D,Table 1 / Table 10,D,0.5904,results/extended_replay/audit_aggregates.json,mean of D over the 8 retained pools of selector alpagasus_style
tab1:alpagasus_style:H,Table 1 / Table 10,H,0.0647,results/extended_replay/audit_aggregates.json,mean of H over the 8 retained pools of selector alpagasus_style
tab1:alpagasus_style:L,Table 1 / Table 10,L,0.0057,results/extended_replay/audit_aggregates.json,mean of L over the 8 retained pools of selector alpagasus_style
tab1:alpagasus_style:HR,Table 1 / Table 10,HR,0.2461,results/extended_replay/audit_aggregates.json,mean of HR over the 8 retained pools of selector alpagasus_style
tab1:deita_style:LC,Table 1 / Table 10,LC,0.8686,results/extended_replay/audit_aggregates.json,mean of LC over the 8 retained pools of selector deita_style
